Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
SW68,SW_Push,MX-Alps-Choc-1U-NoLED,310.184198,-140.547339,15.0,top
SW69,SW_Push,MX-Alps-Choc-1U-NoLED,328.882195,-136.961951,15.0,top
SW70,SW_Push,MX-Alps-Choc-1U-NoLED,348.554168,-136.578051,15.0,top
SW71,SW_Push,MX-Alps-Choc-1U-NoLED,367.329175,-133.072495,15.0,top
SW72,SW_Push,MX-Alps-Choc-1U-NoLED,385.344722,-126.691943,15.0,top
SW73,SW_Push,MX-Alps-Choc-1U-NoLED,29.522917,-145.075785,-15.0,top
SW74,SW_Push,MX-Alps-Choc-1U-NoLED,47.527553,-151.384381,-15.0,top
SW75,SW_Push,MX-Alps-Choc-1U-NoLED,66.320337,-154.915971,-15.0,top
SW76,SW_Push,MX-Alps-Choc-1U-NoLED,85.98055,-155.289758,-15.0,top
SW77,SW_Push,MX-Alps-Choc-1U-NoLED,104.711408,-158.872755,-15.0,top
SW78,SW_Push,MX-Alps-Choc-1U-NoLED,122.804338,-165.135983,-15.0,top
SW79,SW_Push,MX-Alps-Choc-2U-StabFlip-NoLED,151.13,-176.53,-7.5,top
SW80,SW_Push,MX-Alps-Choc-1U-NoLED,181.504206,-177.722335,0.0,top
SW81,SW_Push,MX-Alps-Choc-1U-NoLED,200.493711,-177.712896,0.0,top
SW82,SW_Push,MX-Alps-Choc-1U-NoLED,219.499599,-177.693491,0.0,top
SW83,SW_Push,MX-Alps-Choc-1U-NoLED,238.462754,-177.682742,0.0,top
SW84,SW_Push,MX-Alps-Choc-2U-StabFlip-NoLED,268.605,-176.53,7.5,top
SW85,SW_Push,MX-Alps-Choc-1U-NoLED,296.98102,-165.214572,15.0,top
SW86,SW_Push,MX-Alps-Choc-1U-NoLED,315.098465,-158.922461,15.0,top
SW87,SW_Push,MX-Alps-Choc-1U-NoLED,333.818971,-155.369228,15.0,top
SW88,SW_Push,MX-Alps-Choc-1U-NoLED,353.500171,-154.97297,15.0,top
SW89,SW_Push,MX-Alps-Choc-1U-NoLED,372.262191,-151.502602,15.0,top
SW90,SW_Push,MX-Alps-Choc-1U-NoLED,390.280306,-145.106305,15.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,209.941997,-78.74,0.0,top
